Study Abroad Institution,Program Name ,Year ,Kzoo Course Name ,Kzoo Discipline ,Host Insti. Course Number,Host Insti. Course Name
Capital Normal University ,China: Beijing ,2015-2016,ICRP (Explorations of Income Inequality in the Chinese Context),ICRP,ICRP,ICRP
Capital Normal University ,China: Beijing ,2015-2016,ICRP (UFCH: Medical Care to the Underserved),ICRP,ICRP,ICRP
Capital Normal University ,China: Beijing ,2015-2016,ICRP (Learning to Play the Erhu in Modern Beijing),ICRP,ICRP,ICRP
Capital Normal University ,China: Beijing ,2015-2016,ICRP (Dogs and Dog Culture in Beijing),ICRP,ICRP,ICRP
Capital Normal University ,China: Beijing ,2015-2016,ICRP (Investigation of the China National Park Project),ICRP,ICRP,ICRP
Universidad San Francisco de Quito,Ecuador: Quito,2018-2019,ICRP (Legality vs Reality: A Conversation of Gay Life in Quito),ICRP,ICRP,ICRP
Universidad San Francisco de Quito,Ecuador: Quito,2018-2019,ICRP (Un caso de estudio de la violencia hacia la mujer y miembros de la comunidad LGBTI #NiUnaMenos),ICRP,ICRP,ICRP
Universidad San Francisco de Quito,Ecuador: Quito,2018-2019,ICRP (Oil in Ecuador: How Money the Ethics of the Industry),ICRP,ICRP,ICRP
Universidad San Francisco de Quito,Ecuador: Quito,2018-2019,"ICRP (Technology Agenda: An analysis of education technology in Ecuador, it’s current
implementation, and it’s future obstacles)",ICRP,ICRP,ICRP
Universidad San Francisco de Quito,Ecuador: Quito,2018-2019,ICRP (Attitudes and Outlooks: The Prevalence of Foreign Music and Lack of National Music within the USFQ College of Music),ICRP,ICRP,ICRP
Universidad San Francisco de Quito,Ecuador: Quito,2018-2019,ICRP (Human Perspectives in the Venezuelan Immigration to Ecuador),ICRP,ICRP,ICRP
Universidad San Francisco de Quito,Ecuador: Quito,2018-2019,ICRP (Correa and Non-Profits in Ecuador),ICRP,ICRP,ICRP
Universidad San Francisco de Quito,Ecuador: Quito,2017-2018,ICRP (Behavioral Patterns in Abused and Neglected Children: Review of Research Supported by First-Hand Experience),ICRP,ICRP,ICRP
Universidad San Francisco de Quito,Ecuador: Quito,2017-2018,"ICRP (Children & Gender Rolls, as Influenced by Women)",ICRP,ICRP,ICRP
Universidad San Francisco de Quito,Ecuador: Quito,2017-2018,ICRP (Comparing & Contrasting Service Learning and Volunteering: Which is Really More Beneficial?,ICRP,ICRP,ICRP
Universidad San Francisco de Quito,Ecuador: Quito,2017-2018,ICRP (Discipline at Home & at School for Ecuadorian Children),ICRP,ICRP,ICRP
Universidad San Francisco de Quito,Ecuador: Quito,2017-2018,ICRP (La pobrexa y los recursos en Quito Ecuador),ICRP,ICRP,ICRP
Universidad San Francisco de Quito,Ecuador: Quito,2017-2018,ICRP (Lack of Nutritional Diets in Relation to Health Problems as Affected by Children in Ecuador),ICRP,ICRP,ICRP
Universidad San Francisco de Quito,Ecuador: Quito,2017-2018,ICRP (Leadership at Fundacion Ecuatoriana Equidad),ICRP,ICRP,ICRP
Universidad San Francisco de Quito,Ecuador: Quito,2017-2018,ICRP (My Time at Ser Pa'Hacer),ICRP,ICRP,ICRP
Universidad San Francisco de Quito,Ecuador: Quito,2017-2018,ICRP (Public Health in Ecuador),ICRP,ICRP,ICRP
Universidad San Francisco de Quito,Ecuador: Quito,2017-2018,ICRP (The Omnipresent Gap Between Public & Private Education in Ecuador),ICRP,ICRP,ICRP
Universidad San Francisco de Quito,Ecuador: Quito,2017-2018,ICRP (The Stagmant & Developing Gender Stereotypes Within Ecuador),ICRP,ICRP,ICRP
Universidad San Francisco de Quito,Ecuador: Quito,2017-2018,ICRP (The Wellbeing of Primary Caregivers to Children with Cerebral Palsy: A Cross-Cultural Study),ICRP,ICRP,ICRP
Universidad San Francisco de Quito,Ecuador: Quito,2015-2016,ICRP (Enlaces: La cultura GLBTI y la contracultura en Quito),ICRP,ICRP,ICRP
Universidad San Francisco de Quito,Ecuador: Quito,2015-2016,ICRP (International Volunteering: Navegating Impacts and Ethics),ICRP,ICRP,ICRP
Universidad San Francisco de Quito,Ecuador: Quito,2015-2016,ICRP (The Reality of Being a Colombian Refugee in Quito),ICRP,ICRP,ICRP
Universidad San Francisco de Quito,Ecuador: Quito,2015-2016,"ICRP (Catholicism, Values, Gender Roles, and Consciousness)",ICRP,ICRP,ICRP
Universidad San Francisco de Quito,Ecuador: Quito,2015-2016,ICRP (Mathematics Abilities Based on Interviews and Observations),ICRP,ICRP,ICRP
Universidad San Francisco de Quito,Ecuador: Quito,2015-2016,ICRP (Education quality of children in poverty),ICRP,ICRP,ICRP
Ecole Superieure de Commerce de Clermont,France: Clermont,2017-2018,ICRP (Different Types of Dance in France as an Expression of Passion),ICRP,ICRP,ICRP
Ecole Superieure de Commerce de Clermont,France: Clermont,2017-2018,ICRP (French Catholicism & the Women's Empowerment Movement),ICRP,ICRP,ICRP
Ecole Superieure de Commerce de Clermont,France: Clermont,2017-2018,ICRP (Impact of Picasso & the Cubist Movember on French Art Culture),ICRP,ICRP,ICRP
Ecole Superieure de Commerce de Clermont,France: Clermont,2017-2018,"ICRP (Part 1: A Look into the Lacemaking Community, Part 2: Lacemaking: More Than a Piece of Woven Thread",ICRP,ICRP,ICRP
Ecole Superieure de Commerce de Clermont,France: Clermont,2017-2018,ICRP (Rugy & University Sports in France),ICRP,ICRP,ICRP
Ecole Superieure de Commerce de Clermont,France: Clermont,2017-2018,ICRP (Sports for Handicapped People in France),ICRP,ICRP,ICRP
Ecole Superieure de Commerce de Clermont,France: Clermont,2017-2018,ICRP (the Importance of Association in France),ICRP,ICRP,ICRP
Ecole Superieure de Commerce de Clermont,France: Clermont,2017-2018,ICRP (The Producion of Radio and Radio Culture in France),ICRP,ICRP,ICRP
Ecole Superieure de Commerce de Clermont,France: Clermont,2017-2018,ICRP (Volunteering at a Mentally Handicapped Social Center in France),ICRP,ICRP,ICRP
Ecole Superieure de Commerce de Clermont,France: Clermont,2015-2016,ICRP (Integration in France: Immigrants and Refugees),ICRP,ICRP,ICRP
Ecole Superieure de Commerce de Clermont,France: Clermont,2015-2016,ICRP (Art Exploration Throughout France: A Personal Study),ICRP,ICRP,ICRP
Ecole Superieure de Commerce de Clermont,France: Clermont,2015-2016,ICRP (French Boxing: Women's Sports),ICRP,ICRP,ICRP
Ecole Superieure de Commerce de Clermont,France: Clermont,2015-2016,ICRP (The Issue of a Language Barrier in the Medical Context),ICRP,ICRP,ICRP
Ecole Superieure de Commerce de Clermont,France: Clermont,2015-2016,ICRP (Stagefright),ICRP,ICRP,ICRP
Ecole Superieure de Commerce de Clermont,France: Clermont,2015-2016,ICRP (The Art of Lacemaking),ICRP,ICRP,ICRP
Ecole Superieure de Commerce de Clermont,France: Clermont,2015-2016,ICRP (French Artisanry: How an Art Can Influence a Nation),ICRP,ICRP,ICRP
Ecole Superieure de Commerce de Clermont,France: Clermont,2015-2016,ICRP (Sexism and Sewing),ICRP,ICRP,ICRP
Ecole Superieure de Commerce de Clermont,France: Clermont,2015-2016,ICRP (Communitcation between school and home: The book that makes it possible),ICRP,ICRP,ICRP
Ecole Superieure de Commerce de Clermont,France: Clermont,2018-2019,ICRP (The perception and integration of handicapped people in French society),ICRP,ICRP,ICRP
Ecole Superieure de Commerce de Clermont,France: Clermont,2018-2019,ICRP (L’École de la Dentelle á Royat),ICRP,ICRP,ICRP
Ecole Superieure de Commerce de Clermont,France: Clermont,2018-2019,"ICRP (Meat, Cheese and Potatoes: The Easiest Topics of Conversation in France)",ICRP,ICRP,ICRP
Ecole Superieure de Commerce de Clermont,France: Clermont,2018-2019,ICRP (Third places in French society allow the meeting of various cultural groups),ICRP,ICRP,ICRP
Institut International d Etudes Francaise,France: Strasbourg,2018-2019,ICRP (French Impressionism and its Influence on Mondern Art),ICRP,ICRP,ICRP
Institut International d Etudes Francaise,France: Strasbourg,2018-2019,ICRP (Cultural Oppositions That Make Everything Different),ICRP,ICRP,ICRP
Institut International d Etudes Francaise,France: Strasbourg,2018-2019,ICRP (Collaboration in the Classroom),ICRP,ICRP,ICRP
Institut International d Etudes Francaise,France: Strasbourg,2018-2019,ICRP (Life of a French Soccer Fanatic),ICRP,ICRP,ICRP
Institut International d Etudes Francaise,France: Strasbourg,2018-2019,"ICRP (Climbing, Ultimate, Sports Oh My)",ICRP,ICRP,ICRP
Institut International d Etudes Francaise,France: Strasbourg,2017-2018,ICRP (French Bakery),ICRP,ICRP,ICRP
Institut International d Etudes Francaise,France: Strasbourg,2017-2018,ICRP (Social Aid Non-for Profits & Poverty in France),ICRP,ICRP,ICRP
Institut International d Etudes Francaise,France: Strasbourg,2017-2018,ICRP (The Road to Equality for LGBTQ Citizens in France),ICRP,ICRP,ICRP
Institut International d Etudes Francaise,France: Strasbourg,2015-2016,ICRP (A Study of the Importance of Cuisine within French Culture ),ICRP,ICRP,ICRP
Institut International d Etudes Francaise,France: Strasbourg,2015-2016,ICRP (Photography and Baked Goods),ICRP,ICRP,ICRP
Institut International d Etudes Francaise,France: Strasbourg,2015-2016,"ICRP (The History, Education, and Language of Alsacien Chemistry)",ICRP,ICRP,ICRP
Institut International d Etudes Francaise,France: Strasbourg,2015-2016,ICRP (Refuge and the Red Cross),ICRP,ICRP,ICRP
Institut International d Etudes Francaise,France: Strasbourg,2015-2016,ICRP (A Critical Analysis of the Civil War in Syria and its Implications on the European Union and the Schengen Area vis-à-vis the Principle of Freedom of Movement and Asylum Policy),ICRP,ICRP,ICRP
Institut International d Etudes Francaise,France: Strasbourg,2015-2016,"ICRP (A Three Way Connection Between the French, Music, and Memory)",ICRP,ICRP,ICRP
Institut International d Etudes Francaise,France: Strasbourg,2015-2016,ICRP (How “Secularism” or “La Laïcité” Supports Unity and Common Culture in French Schools),ICRP,ICRP,ICRP
Institut International d Etudes Francaise,France: Strasbourg,2015-2016,ICRP (The Refugee Crisis of Europe),ICRP,ICRP,ICRP
Institut International d Etudes Francaise,France: Strasbourg,2015-2016,ICRP (Reflections in the French Classroom),ICRP,ICRP,ICRP
Institut International d Etudes Francaise,France: Strasbourg,2015-2016,ICRP (Tennis in France),ICRP,ICRP,ICRP
Institut International d Etudes Francaise,France: Strasbourg,2015-2016,ICRP (A comparison of pottery and potters within Alsace and the United States),ICRP,ICRP,ICRP
Universität Bonn,Germany: Bonn,2018-2019,"ICRP (Feminism Diaspora in Bonn, Germany: Art as Resistance and Gateway to Solidarity)",ICRP,ICRP,ICRP
Universität Bonn,Germany: Bonn,2017-2018,ICRP (Assistance in English Classes),ICRP,ICRP,ICRP
Universität Bonn,Germany: Bonn,2017-2018,ICRP (The Importance of Student-to-Teacher Raion on Gymnasium),ICRP,ICRP,ICRP
Universität Bonn,Germany: Bonn,2017-2018,ICRP (The Montessori Learning Style),ICRP,ICRP,ICRP
Universität Bonn,Germany: Bonn,2017-2018,ICRP (Children in German Montessori School),ICRP,ICRP,ICRP
Universität Bonn,Germany: Bonn,2017-2018,ICRP (Foreign Language Acquisition in German Public Schools & Personal Reflection),ICRP,ICRP,ICRP
Universität Bonn,Germany: Bonn,2016-2017,ICRP (Interkultureller Madchentreff AZADE),ICRP,ICRP,ICRP
Universität Bonn,Germany: Bonn,2016-2017,ICRP (Clara - Schumann Gymnasium),ICRP,ICRP,ICRP
Universität Bonn,Germany: Bonn,2016-2017,"ICRP (Ernst - Mortiz - Arndt - Gymnasium, Bonn)",ICRP,ICRP,ICRP
Universität Bonn,Germany: Bonn,2016-2017,"ICRP (Montessoriscule, Bonn)",ICRP,ICRP,ICRP
Universität Bonn,Germany: Bonn,2015-2016,ICRP (Clara Schumann Gymnasium Bonn),ICRP,ICRP,ICRP
Universität Bonn,Germany: Bonn,2015-2016,ICRP (LBST - Referat),ICRP,ICRP,ICRP
Universität Bonn,Germany: Bonn,2015-2016,ICRP (Madchentreff Azade),ICRP,ICRP,ICRP
Universität Bonn,Germany: Bonn,2015-2016,ICRP (OGS Buschdorf),ICRP,ICRP,ICRP
Universität Bonn,Germany: Bonn,2015-2016,ICRP (Rheinflanke - inerkultureller FuBballcllub),ICRP,ICRP,ICRP
Universität Bonn,Germany: Bonn,2015-2016,ICRP (Weitblick Bonn),ICRP,ICRP,ICRP
"Friedrich-Alexander Universität, Erlangen",Germany: Erlangen,2018-2019,ICRP (An Exploration of Waldorf Education),ICRP,ICRP,ICRP
"Friedrich-Alexander Universität, Erlangen",Germany: Erlangen,2018-2019,ICRP (Das Forstamt als Brückenbauer zwischen Menschen und Natur),ICRP,ICRP,ICRP
"Friedrich-Alexander Universität, Erlangen",Germany: Erlangen,2018-2019,ICRP (Judicial Culture at the District Court Erlangen),ICRP,ICRP,ICRP
"Friedrich-Alexander Universität, Erlangen",Germany: Erlangen,2018-2019,ICRP (The Educational Pathway of Gardeners in Germany),ICRP,ICRP,ICRP
"Friedrich-Alexander Universität, Erlangen",Germany: Erlangen,2018-2019,ICRP (An Inside Look at the German School System),ICRP,ICRP,ICRP
"Friedrich-Alexander Universität, Erlangen",Germany: Erlangen,2018-2019,ICRP (Radio Z as an Example of Successful Independent Radio),ICRP,ICRP,ICRP
"Friedrich-Alexander Universität, Erlangen",Germany: Erlangen,2017-2018,ICRP (Afternoons at Waldorf School),ICRP,ICRP,ICRP
"Friedrich-Alexander Universität, Erlangen",Germany: Erlangen,2017-2018,ICRP (Democracy & Developing Opinions of Young People in Nurnberg),ICRP,ICRP,ICRP
"Friedrich-Alexander Universität, Erlangen",Germany: Erlangen,2017-2018,ICRP (German as a Second Language Classroom: Eichendorffschule),ICRP,ICRP,ICRP
"Friedrich-Alexander Universität, Erlangen",Germany: Erlangen,2017-2018,ICRP (Teaching Social Studies & English in Ohm High School),ICRP,ICRP,ICRP
"Friedrich-Alexander Universität, Erlangen",Germany: Erlangen,2016-2017,ICRP (Teaching Training in Germany),ICRP,ICRP,ICRP
"Friedrich-Alexander Universität, Erlangen",Germany: Erlangen,2016-2017,ICRP (Nürnberg's Troubled Past and Responses to It),ICRP,ICRP,ICRP
"Friedrich-Alexander Universität, Erlangen",Germany: Erlangen,2016-2017,"ICRP (Who is More Responsible, Germany or the USA:  Approach by Germany and The USA Towards Refugees)",ICRP,ICRP,ICRP
"Friedrich-Alexander Universität, Erlangen",Germany: Erlangen,2016-2017,ICRP (German-based International Companies’ Use of Social Media),ICRP,ICRP,ICRP
"Friedrich-Alexander Universität, Erlangen",Germany: Erlangen,2016-2017,ICRP (Partnerschaften in Erlangen),ICRP,ICRP,ICRP
"Friedrich-Alexander Universität, Erlangen",Germany: Erlangen,2015-2016,ICRP (The Image of Women in Germany: What Power Does it Hold?),ICRP,ICRP,ICRP
"Friedrich-Alexander Universität, Erlangen",Germany: Erlangen,2015-2016,ICRP (Office of International Relations Internship),ICRP,ICRP,ICRP
"Friedrich-Alexander Universität, Erlangen",Germany: Erlangen,2015-2016,ICRP (My Experience in a Waldkindergarten in Germany),ICRP,ICRP,ICRP
"Friedrich-Alexander Universität, Erlangen",Germany: Erlangen,2015-2016,ICRP (The Various Handlings of Children and Youth with Migrant Backgrounds -- a Close Examination of Übergangsklassen),ICRP,ICRP,ICRP
"Friedrich-Alexander Universität, Erlangen",Germany: Erlangen,2015-2016,ICRP (City Partnerships and Their Role in Nuremberg),ICRP,ICRP,ICRP
"Friedrich-Alexander Universität, Erlangen",Germany: Erlangen,2015-2016,ICRP (Kinderschutz Brauchen Starke Netze),ICRP,ICRP,ICRP
"Friedrich-Alexander Universität, Erlangen",Germany: Erlangen,2015-2016,ICRP (Nuremberg Trials Across Cultures),ICRP,ICRP,ICRP
"Friedrich-Alexander Universität, Erlangen",Germany: Erlangen,2015-2016,Buro fur Gender and Diversity,ICRP,ICRP,"Buro fur Gender and Diversity, Universitat Erlangen-Nurnberg"
Japan Center for Michigan Universities (JCMU),Japan: Hikone,2018-2019,ICRP (Youth Education in Japan),ICRP,ICRP,ICRP
Japan Center for Michigan Universities (JCMU),Japan: Hikone,2018-2019,ICRP (Cultural Barriers and the Japanese Drinking Scene),ICRP,ICRP,ICRP
Japan Center for Michigan Universities (JCMU),Japan: Hikone,2018-2019,ICRP (Coffee Culture in Shiga),ICRP,ICRP,ICRP
Japan Center for Michigan Universities (JCMU),Japan: Hikone,2018-2019,ICRP (Japanese Jazz History),ICRP,ICRP,ICRP
Japan Center for Michigan Universities (JCMU),Japan: Hikone,2017-2018,ICRP (From Idea to Project),ICRP,ICRP,ICRP
Japan Center for Michigan Universities (JCMU),Japan: Hikone,2017-2018,ICRP (Japan from the Eyes of America),ICRP,ICRP,ICRP
Japan Center for Michigan Universities (JCMU),Japan: Hikone,2017-2018,ICRP (Observing Tradition),ICRP,ICRP,ICRP
Japan Center for Michigan Universities (JCMU),Japan: Hikone,2015-2016,"ICRP (What People Forget to Mention, Or Could Not Capture in Words)",ICRP,ICRP,ICRP
Japan Center for Michigan Universities (JCMU),Japan: Hikone,2015-2016,ICRP (The Little Mermaid),ICRP,ICRP,ICRP
University of Nairobi ,Kenya: Nairobi,2018-2019,ICRP (HIV/AIDS in the US and Kenya: A Holistic Analysis of the Outbreak and its Impact),ICRP,ICRP,ICRP
University of Nairobi ,Kenya: Nairobi,2018-2019,ICRP (Being B(l)ack in Africa),ICRP,ICRP,ICRP
University of Nairobi ,Kenya: Nairobi,2018-2019,ICRP (Analyzing the Life Goals and Values of Children in Kibra),ICRP,ICRP,ICRP
University of Nairobi ,Kenya: Nairobi,2018-2019,ICRP (Youth Activism Through Poetry),ICRP,ICRP,ICRP
Universite Cheikh Anta Diop ,Senegal: Dakar ,2018-2019,ICRP (Senegalese Election of 2019),ICRP,ICRP,ICRP
Universite Cheikh Anta Diop ,Senegal: Dakar ,2018-2019,ICRP (A History of Contemporary Arts in Senegal and the Successes of Léopold Sédar Senghor’s Négritude),ICRP,ICRP,ICRP
Universite Cheikh Anta Diop ,Senegal: Dakar ,2018-2019,ICRP (Foster Care in Senegal),ICRP,ICRP,ICRP
Universite Cheikh Anta Diop ,Senegal: Dakar ,2015-2016,ICRP (To Be Raised Well- Muslim Religious Education in Senegal),ICRP,ICRP,ICRP
Universite Cheikh Anta Diop ,Senegal: Dakar ,2015-2016,"ICRP (Making Fabric, Making Progress: Women's Groups in Senegal)",ICRP,ICRP,ICRP
Universite Cheikh Anta Diop ,Senegal: Dakar ,2015-2016,ICRP (Analysis of Hip-Hop Culture in Dakar and its Influence on a Nation's Youth),ICRP,ICRP,ICRP
Universidad de Extremadura,Spain: Caceres,2018-2019,ICRP (Foreign Student’s Perspective on the Spanish Education System),ICRP,ICRP,ICRP
Universidad de Extremadura,Spain: Caceres,2018-2019,ICRP (Empowering the Person through Teaching ESL to adults with Disabilities),ICRP,ICRP,ICRP
Universidad de Extremadura,Spain: Caceres,2018-2019,ICRP (Student Writer for Avuelapluma),ICRP,ICRP,ICRP
Universidad de Extremadura,Spain: Caceres,2018-2019,ICRP (Contributing to Avuelpluma),ICRP,ICRP,ICRP
Universidad de Extremadura,Spain: Caceres,2018-2019,ICRP (Practicing English),ICRP,ICRP,ICRP
Universidad de Extremadura,Spain: Caceres,2018-2019,ICRP (Volunteering in el Colegio Diocesano),ICRP,ICRP,ICRP
Universidad de Extremadura,Spain: Caceres,2018-2019,ICRP (Perspectives on the Teaching Methods and Research in Chemistry in Spain),ICRP,ICRP,ICRP
Universidad de Extremadura,Spain: Caceres,2018-2019,ICRP (Immersion into the Spanish Language and Culture: Behavioral Therapy Internship),ICRP,ICRP,ICRP
Universidad de Extremadura,Spain: Caceres,2018-2019,ICRP (A Look into Spanish Education),ICRP,ICRP,ICRP
Universidad de Extremadura,Spain: Caceres,2018-2019,ICRP (Personal and International Reflections and the Instituto Ágora),ICRP,ICRP,ICRP
Universidad de Extremadura,Spain: Caceres,2018-2019,ICRP (Traversing cultures in English / Atravesando culturas en inglés),ICRP,ICRP,ICRP
Universidad de Extremadura,Spain: Caceres,2018-2019,ICRP (Intercultural learning though integration into a Spanish religious community),ICRP,ICRP,ICRP
Universidad de Extremadura,Spain: Caceres,2018-2019,ICRP (Immersion into the Roma Community Through Education),ICRP,ICRP,ICRP
Universidad de Extremadura,Spain: Caceres,2017-2018,ICRP (Creating a Support System for the Students & the Effects on Their Education,ICRP,ICRP,ICRP
Universidad de Extremadura,Spain: Caceres,2017-2018,ICRP (Effective Tools for Engaging and Methods of Teaching People with Disabilities),ICRP,ICRP,ICRP
Universidad de Extremadura,Spain: Caceres,2017-2018,ICRP (International Journalism & Foreign Student's Perspectives on Spanish Culture),ICRP,ICRP,ICRP
Universidad de Extremadura,Spain: Caceres,2017-2018,ICRP (Language Teaching & Spanish Agricultural Methods),ICRP,ICRP,ICRP
Universidad de Extremadura,Spain: Caceres,2017-2018,ICRP (The Investigation of a Spanish Undergraduate Chemistry Laboratory & Publications),ICRP,ICRP,ICRP
Universidad de Extremadura,Spain: Caceres,2017-2018,ICRP (The Treatment and Help of People with Special Needs in ASPAINCA),ICRP,ICRP,ICRP
Universidad de Extremadura,Spain: Caceres,2017-2018,ICRP (Theatre as a Tool for Cross-Cultural Understanding,ICRP,ICRP,ICRP
Universidad de Extremadura,Spain: Caceres,2016-2017,ICRP (Colegio de Practicas: Las clases de Inglés),ICRP,ICRP,ICRP
Universidad de Extremadura,Spain: Caceres,2016-2017,El Colegio de las Carmelitas: An Insight into the Spanish Educative Process),ICRP,ICRP,ICRP
Universidad de Extremadura,Spain: Caceres,2016-2017,ICRP (Walking the dogs of the shelter),ICRP,ICRP,ICRP
Universidad de Extremadura,Spain: Caceres,2016-2017,ICRP (ASPAINCA: Active Integration into the New World),ICRP,ICRP,ICRP
Universidad de Extremadura,Spain: Caceres,2016-2017,ICRP (Learning of the Educational Struggles of a Marginalized Group),ICRP,ICRP,ICRP
Universidad de Extremadura,Spain: Caceres,2016-2017,ICRP (Intercultural Immersion through Spanish Catholic Religion),ICRP,ICRP,ICRP
Universidad de Extremadura,Spain: Caceres,2016-2017,ICRP (Refugio San Jorge: Unión entre los voluntarios),ICRP,ICRP,ICRP
Universidad de Extremadura,Spain: Caceres,2016-2017,ICRP (El Perú: An Analysis of Spanish Gym Environments),ICRP,ICRP,ICRP
Universidad de Extremadura,Spain: Caceres,2016-2017,ICRP (Foreign Language Learning Methods and the Effect of Culture on Teaching Style),ICRP,ICRP,ICRP
Universidad de Extremadura,Spain: Caceres,2015-2016,ICRP (My experience working with the fundación secretariado Gitano),ICRP,ICRP,ICRP
Universidad de Extremadura,Spain: Caceres,2015-2016,ICRP (ICRP in the IES),ICRP,ICRP,ICRP
Universidad de Extremadura,Spain: Caceres,2015-2016,ICRP (Forgotten Treasure: Learning Spanish Culture from Senior Spanish Citizens),ICRP,ICRP,ICRP
Universidad de Extremadura,Spain: Caceres,2015-2016,ICRP (Working with the Sisters of the Poor),ICRP,ICRP,ICRP
Universidad de Extremadura,Spain: Caceres,2015-2016,"ICRP (Teaching in Cáceres, Spain)",ICRP,ICRP,ICRP
Universidad de Extremadura,Spain: Caceres,2015-2016,ICRP (Autism Across the Ocean: The use of Applied Behavior Analysis with Spanish children),ICRP,ICRP,ICRP
Universidad de Extremadura,Spain: Caceres,2015-2016,ICRP (La perspectiva gitana y al racismo desconcertante en España),ICRP,ICRP,ICRP
Universidad de Extremadura,Spain: Caceres,2015-2016,ICRP (Instituto Agora),ICRP,ICRP,ICRP
Universidad de Extremadura,Spain: Caceres,2015-2016,ICRP (Minimally Invasive Surgery Center - Jesús Úson),ICRP,ICRP,ICRP
Universidad de Extremadura,Spain: Caceres,2015-2016,ICRP (Integrative Cultural Research Project at Colegio Diocesano),ICRP,ICRP,ICRP
Universidad de Extremadura,Spain: Caceres,2015-2016,ICRP (Pella: Creaciones Artísticas),ICRP,ICRP,ICRP
Universidad de Extremadura,Spain: Caceres,2015-2016,ICRP (Volunteer in English Classes at a Public School),ICRP,ICRP,ICRP
Universidad Antonia de Nebrija,Spain: Madrid,2018-2019,ICRP (Racism in the Classroom: An Investigation into the Effects of Everyday Racism in Montessori Schools),ICRP,ICRP,ICRP
Universidad Antonia de Nebrija,Spain: Madrid,2018-2019,ICRP (The study of the primary sciences: a comparison of the style of Spanish and American teaching),ICRP,ICRP,ICRP
Universidad Antonia de Nebrija,Spain: Madrid,2018-2019,ICRP (The Integration and Empowerment of Migrants through the Madrid 4 Refugees Cooking Solidario Program),ICRP,ICRP,ICRP
Universidad Antonia de Nebrija,Spain: Madrid,2018-2019,ICRP (Analysis of the bilingual laws in Madrid and their application for students of the sixth grade at C.E.I.P. Eugenio Mario de Hostos),ICRP,ICRP,ICRP
Universidad Antonia de Nebrija,Spain: Madrid,2018-2019,ICRP (The Effects of the Montessori Method in the Creativity of Elementary Aged Children: A Comparison Between Second and Fifth Grade),ICRP,ICRP,ICRP
Universidad Antonia de Nebrija,Spain: Madrid,2017-2018,ICRP (Inmigracion ed Madrir: Un analisis del CEPI Chamartin a traves de la sociedad colectivista espanola),ICRP,ICRP,ICRP
Universidad Antonia de Nebrija,Spain: Madrid,2017-2018,ICRP (La Importancia de una Educacion Bilingue),ICRP,ICRP,ICRP
Universidad Antonia de Nebrija,Spain: Madrid,2017-2018,ICRP (Los Beneficios de los Servicios Sociales: La Relacion Entra los Servicios y las Ciudades Globales),ICRP,ICRP,ICRP
Universidad Antonia de Nebrija,Spain: Madrid,2017-2018,ICRP (Los Factores que Afectan a los Estudiantes de Espanol que Aprenden Ingles Como Segundo Idioma),ICRP,ICRP,ICRP
Universidad Antonia de Nebrija,Spain: Madrid,2017-2018,ICRP (Observacion y Estudio sobra El Esclerosis Multiple y Su Relacion con El Estado mental),ICRP,ICRP,ICRP
Universidad Antonia de Nebrija,Spain: Madrid,2017-2018,ICRP (Para formar comunidad a traves de la creatividad),ICRP,ICRP,ICRP 
Universidad Antonia de Nebrija,Spain: Madrid,2017-2018,ICRP (Tratamientos de acne en Espana),ICRP,ICRP,ICRP 
Universidad Antonia de Nebrija,Spain: Madrid,2016-2017,ICRP (Modes of Communication in a Christian Radio Station),ICRP,ICRP,ICRP
Universidad Antonia de Nebrija,Spain: Madrid,2016-2017,ICRP (Observation and Study of the Awareness of the Disease Epidermolysis Bullosa in Spain),ICRP,ICRP,ICRP
Universidad Antonia de Nebrija,Spain: Madrid,2016-2017,ICRP (Disabilities in School Age Children in Spain),ICRP,ICRP,ICRP
Universidad Antonia de Nebrija,Spain: Madrid,2016-2017,ICRP (The Exploration of How a Strong Media Presence in the 21st Century Impacts the National and World Image of Spain),ICRP,ICRP,ICRP
Universidad Antonia de Nebrija,Spain: Madrid,2016-2017,ICRP (The Implementation of Bilingual Programs in Spanish School has increased; The United States suffers from a Deficit in Foreign Language studies),ICRP,ICRP,ICRP
Universidad Antonia de Nebrija,Spain: Madrid,2016-2017,ICRP (How are Students More Receptive to New Information through Interactive Teaching?),ICRP,ICRP,ICRP
Universidad Antonia de Nebrija,Spain: Madrid,2016-2017,ICRP (Gendered Violence Against Young Women in Spain),ICRP,ICRP,ICRP
Universidad Antonia de Nebrija,Spain: Madrid,2015-2016,ICRP (Being a Teaching Assistant at a Bilingual School in Madrid),ICRP,ICRP,ICRP
Universidad Antonia de Nebrija,Spain: Madrid,2015-2016,ICRP (The Spanish Classroom and the Teacher's Role),ICRP,ICRP,ICRP
Universidad Antonia de Nebrija,Spain: Madrid,2015-2016,ICRP (Motivation in Students),ICRP,ICRP,ICRP
Universidad Antonia de Nebrija,Spain: Madrid,2015-2016,ICRP (AntiSemitism in Spain),ICRP,ICRP,ICRP
Universidad Antonia de Nebrija,Spain: Madrid,2015-2016,ICRP (The Power Music Holds),ICRP,ICRP,ICRP
Universidad Antonia de Nebrija,Spain: Madrid,2015-2016,"ICRP (Learning to Hear, Learning to Speak: Hearing Loss Difficulties in a Bilingual World)",ICRP,ICRP,ICRP
