Study Abroad Institution,Program Name ,Year ,Kzoo Course Name ,Kzoo Discipline ,Host Insti. Course Number,Host Insti. Course Name
The American University of Rome ,Italy: Rome,2018-2019,Physical Geography,ENVS,ENV 102,Physical Geography
International Sustainable Development Studies Institute,Thailand: Chiang Mai,2018-2019,Sustainability and the Environment in Thailand and Southeast Asia ,ENVS,NA,Sustainability and the Environment in Thailand and Southeast Asia 
International Sustainable Development Studies Institute,Thailand: Chiang Mai,2017-2018,Agroecology: Social and Biological Factors in Sustainable Agriculture,ENVS,NA,Agroecology: Social and Biological Factors in Sustainable Agriculture
International Sustainable Development Studies Institute,Thailand: Chiang Mai,2017-2018,Political Ecology of Forests: Indigenous People and Natural Resources,ENVS,NA,Political Ecology of Forests: Indigenous People and Natural Resources
Universite Cheikh Anta Diop ,Senegal: Dakar ,2018-2019,Intensive French Course,FREN,NA,Intensive French Course
Universite Cheikh Anta Diop ,Senegal: Dakar ,2018-2019,Translation - English - French,FREN,NA,Translation - English - French
Universite Cheikh Anta Diop ,Senegal: Dakar ,2018-2019,French Language - Intermediate,FREN,NA,French Language - Intermediate
Universite Cheikh Anta Diop ,Senegal: Dakar ,2015-2016,Advanced French Grammar,FREN,NA,Grammaire
Universite Cheikh Anta Diop ,Senegal: Dakar ,2015-2016,French Translation,FREN,NA,Traduction
Ecole Superieure de Commerce de Clermont,France: Clermont,2017-2018,French Civilization Project,FREN ,KZ06BL2-00,French Civilization Project
Ecole Superieure de Commerce de Clermont,France: Clermont,2017-2018,French Cultural Internship & Report,FREN ,KZ06BL3-00,French Cultural Internship & Report
Ecole Superieure de Commerce de Clermont,France: Clermont,2017-2018,French Language,FREN ,KZ06BL1-00,French Language 
Ecole Superieure de Commerce de Clermont,France: Clermont,2016-2017,Advanced French Language II,FREN ,G082BL2-60,Langue Francaise 
Ecole Superieure de Commerce de Clermont,France: Clermont,2016-2017,Contemporary French Literature ,FREN ,KZO6BL3-00,Litterature Francaise Contemporaine
Ecole Superieure de Commerce de Clermont,France: Clermont,2016-2017,Modules: Culture Scientifique + Project Culturel ,FREN ,KZO6BL2-00,Culture Scientifique
Ecole Superieure de Commerce de Clermont,France: Clermont,2015-2016,Advanced French Language ,FREN ,KZ05BL1-00,French Language 
Ecole Superieure de Commerce de Clermont,France: Clermont,2015-2016,French Culture and Civilization ,FREN ,KZ06BL2-00,French Civilization 
Ecole Superieure de Commerce de Clermont,France: Clermont,2015-2016,French Literature ,FREN ,KZ05BL3-00,French Literature 
Ecole Superieure de Commerce de Clermont,France: Clermont,2018-2019,French Language,FREN ,KZ05BL1-00,French Language 
Ecole Superieure de Commerce de Clermont,France: Clermont,2018-2019,French Civilization,FREN ,KZ06BL2-00,French Civilization
Ecole Superieure de Commerce de Clermont,France: Clermont,2018-2019,French Literature ,FREN ,KZ05BL3-00,French Literature 
Institut International d Etudes Francaise,France: Strasbourg,2018-2019,Intensive French (Stage),FREN ,NA,Intensive French (Stage)
Institut International d Etudes Francaise,France: Strasbourg,2018-2019,French Language,FREN ,NA,French Language 
Institut International d Etudes Francaise,France: Strasbourg,2018-2019,French Civilization & Culture,FREN ,NA,French Civilization & Culture
Institut International d Etudes Francaise,France: Strasbourg,2017-2018,French Culture,FREN ,NA,French Culture
Institut International d Etudes Francaise,France: Strasbourg,2017-2018,French Language Oral & Written Expression,FREN ,NA,French Language Oral & Written Expression
Institut International d Etudes Francaise,France: Strasbourg,2017-2018,Intensive French (Stage),FREN ,NA,Intensive French (Stage)
"Friedrich-Alexander Universität, Erlangen",Germany: Erlangen,2017-2018,Intro to French Language,FREN ,Sprachkurs,Franzosisch EK I
Universität Bonn,Germany: Bonn,2018-2019,Intensive German - Advanced Beginner,GERM,NA,Intensivkurs Basisstufe
Universität Bonn,Germany: Bonn,2018-2019,German Civilization,GERM,NA,Landeskunde Grundstufe 
Universität Bonn,Germany: Bonn,2018-2019,Urban Literature,GERM,NA,Großstadtliteratur
Universität Bonn,Germany: Bonn,2017-2018,Intermediate Intensive German,GERM,NA,Intensivkurs Basisstufe
Universität Bonn,Germany: Bonn,2017-2018,Topics: European Integration,GERM,NA,European Integration 
Universität Bonn,Germany: Bonn,2017-2018,Topics: Holocaust,GERM,NA,Holocaust
Universität Bonn,Germany: Bonn,2016-2017,Topics: German Civilization and Culture ,GERM,NA,Landeskunde fur Fortgeschrittene
Universität Bonn,Germany: Bonn,2015-2016,Business German ,GERM,NA,Deutsch in Wirtschaft and Handel 
Universität Bonn,Germany: Bonn,2015-2016,German Language Adv Beginning ,GERM,NA,Intensivkurs Basisstufe
Universität Bonn,Germany: Bonn,2015-2016,German Language Orientation Course ,GERM,NA,"Einfuhrungskurs, Gruppe 1"
Universität Bonn,Germany: Bonn,2015-2016,German Language Orientation Course ,GERM,NA,"Einfuhrungskurs, Gruppe 2"
Universität Bonn,Germany: Bonn,2015-2016,German Language Orientation Course ,GERM,NA,"Einfuhrungskurs, Gruppe 3 "
Universität Bonn,Germany: Bonn,2015-2016,German Language Orientation Course ,GERM,NA,"Einfuhrungskurs, Gruppe 6"
Universität Bonn,Germany: Bonn,2015-2016,Germany: An Introduction (in English) ,GERM,NA,"Germany - an introduction into geography, history and politics "
Universität Bonn,Germany: Bonn,2015-2016,Intensive German (Advanced) ,GERM,NA,Intensivkurs Fortgeschrittene
Universität Bonn,Germany: Bonn,2015-2016,Intensive German (Mittelstufe),GERM,NA,Intensivkurs Aufbaustufe
Universität Bonn,Germany: Bonn,2015-2016,Phonetics ,GERM,NA,Phonetik Grundstufe
Universität Bonn,Germany: Bonn,2015-2016,Phonetics ,GERM,NA,Phonetik Mittelstufe 
Universität Bonn,Germany: Bonn,2015-2016,Topics: European Integration ,GERM,NA,European Integration 
Universität Bonn,Germany: Bonn,2015-2016,Topics: German Civilization and Culture ,GERM,NA,Landeskunde Grundstufe 
"Friedrich-Alexander Universität, Erlangen",Germany: Erlangen,2018-2019,Listening Comprehension,GERM,NA,Listening Comprehension
"Friedrich-Alexander Universität, Erlangen",Germany: Erlangen,2018-2019,German Language Orientation Course ,GERM,NA,German Language Orientation Course 
"Friedrich-Alexander Universität, Erlangen",Germany: Erlangen,2018-2019,Phonetics ,GERM,NA,Phonetics
"Friedrich-Alexander Universität, Erlangen",Germany: Erlangen,2018-2019,Writing in German,GERM,NA,Writing in German
"Friedrich-Alexander Universität, Erlangen",Germany: Erlangen,2018-2019,Reading and Listening Comprehension,GERM,NA,Reading and Listening Comprehension
"Friedrich-Alexander Universität, Erlangen",Germany: Erlangen,2017-2018,German Language Orientation Course ,GERM,DaF,FIT-Hurs B2.1
"Friedrich-Alexander Universität, Erlangen",Germany: Erlangen,2017-2018,Topics: Modern Germany,GERM,Proseminar Geschichte,Der Begriff des Imperialismus swischen Antike und Neuzeit
"Friedrich-Alexander Universität, Erlangen",Germany: Erlangen,2017-2018,Advanced German Language,GERM,NA,
"Friedrich-Alexander Universität, Erlangen",Germany: Erlangen,2017-2018,Advanced Grammar ,GERM,DaF,Grammatik C1.2
"Friedrich-Alexander Universität, Erlangen",Germany: Erlangen,2017-2018,Advanced Reading Comprehension,GERM,DaF,Leseverstehen C1.2
"Friedrich-Alexander Universität, Erlangen",Germany: Erlangen,2017-2018,Advanced Vocabulary,GERM,DaF,Wortschatz C1.1
"Friedrich-Alexander Universität, Erlangen",Germany: Erlangen,2017-2018,Important Works of the 20th Century,GERM,Vorlesung Germanistik,Exemplarische Werke des 20. Jahrhunderts
"Friedrich-Alexander Universität, Erlangen",Germany: Erlangen,2017-2018,Intermediate German,GERM,DaF,Allgemeinkurs  
"Friedrich-Alexander Universität, Erlangen",Germany: Erlangen,2017-2018,Intermediate Grammar,GERM,DaF,Grammatik B2.2
"Friedrich-Alexander Universität, Erlangen",Germany: Erlangen,2017-2018,Pronunciation,GERM,DaF,"Phonetik C1.1 ""Aussprachetraining"""
"Friedrich-Alexander Universität, Erlangen",Germany: Erlangen,2017-2018,Scientific Writing,GERM,DaF,Wissenschaftliches Schreiben C1.1
"Friedrich-Alexander Universität, Erlangen",Germany: Erlangen,2017-2018,Technical Language: Humanities,GERM,DaF,Fachsprache Geisteswissenschaften C1
"Friedrich-Alexander Universität, Erlangen",Germany: Erlangen,2017-2018,Writing,GERM,DaF,Schriftlicher Ausdruck 2.2
"Friedrich-Alexander Universität, Erlangen",Germany: Erlangen,2015-2016,Grammar,GERM,DaF,Grammatik B 1.2 (2SWS)
Greece College Year in Athens,Greece: Athens,2018-2019,Beginning Modern Greek Language & Culture I,GREK,MGKL 101C,Beginning Modern Greek Language & Culture I
Greece College Year in Athens,Greece: Athens,2017-2018,"Modern Greek (1st year, 1st semester)",GREK,M101-m2,"Modern Greek (1st year, 1st semester)"
Greece College Year in Athens,Greece: Athens,2016-2017,Modern Greek I ,GREK,M101-m2,Modern Greek (1st Year - 1st Semester) 
Greece College Year in Athens,Greece: Athens,2016-2017,Modern Greek I ,GREK,M101-t2,Modern Greek (1st Year - 1st Semester) 
Greece College Year in Athens,Greece: Athens,2015-2016,Modern Greek I ,GREK,M101A,Modern Greek (1st Year - 1st Semester Accelerated )
Greece College Year in Athens,Greece: Athens,2015-2016,Modern Greek I ,GREK,M101-t2,Modern Greek (1st Year - 1st Semester)
Intercollegiate Center for Classical Study ,Italy: Rome,2018-2019,Intermediate Greek,GREK,GREEK 203A-1,Intermediate Greek
The American University of Rome ,Italy: Rome,2018-2019,Elementary Ancient Greek I,GREK,GRK 101,Elementary Ancient Greek I
The American University of Rome ,Italy: Rome,2017-2018,Ind. Study - Intermediate Greek II,GREK,GRK - 493,Ind. Study - Intermediate Greek II
Ben-Gurion University ,Israel: Be'er Sheva,2015-2016,Hebrew Lang - Intermediate,HEBR,503.5.0256,Hebrew Language - Intermediate
Ben-Gurion University ,Israel: Be'er Sheva,2015-2016,Intensive Hebrew Beginners Part B ,HEBR,503.5.0154,Hebrew Language - Beginners Part B
University of Aberdeen,Scotland: Aberdeen,2017-2018,Hebrew Language,HEBR,DR1042,Hebrew Language
Universidad de Extremadura,Spain: Caceres,2018-2019,History of Islam in Spain,HIST,NA,History of Islam in Spain
University of Botswana,Botswana: Gabarone,2015-2016,Modern Britain,HIST ,HIS 435,"Modern Britain: Nation, Class, Gender, Race"
University of Botswana,Botswana: Gabarone,2015-2016,The Rise of Europe to World Dominance,HIST ,HIS 211,The Rise of Europe to World Dominance
Pontifica Universidad Catolica de Chile,Chile: Santiago,2018-2019,Research Seminar,HIST ,DE UDP-HIS4032,Research Seminar: Chile II
Pontifica Universidad Catolica de Chile,Chile: Valparaiso,2016-2017,Chilean Art & Society in the Pre-Historic Era,HIST ,DE VALP-HIS5541,Chilean Art & Society in the Pre-Historic Era
Pontifica Universidad Catolica de Chile,Chile: Valparaiso,2016-2017,Urban History and Regional History of Valparaiso ,HIST ,DE VALP-HIS557 ,Urban History and Regional History of Valparaiso 
Pontifica Universidad Catolica de Chile,Chile: Valparaiso,2015-2016,Geographic Cultural History of Contemporary Chile ,HIST ,HIST 3003 VALP ,Chilie: Contemporary History and Cultural Geography 
Pontifica Universidad Catolica de Chile,Chile: Valparaiso,2018-2019,Chile: Contemporary History and Cultural Geography,HIST ,HIST 3003 VALP,Chile: Contemporary History and Cultural Geography
