id,study_abroad_institution,program_name,kzoo_course_name,kzoo_discipline,host_insti_course_number,host_insti_course_name,start_year,end_year
997,International Sustainable Development Studies Institute,Thailand,Sustainability and the Environment in Thailand and Southeast Asia ,ENVS,,Sustainability and the Environment in Thailand and Southeast Asia ,2018,2019
998,International Sustainable Development Studies Institute,Thailand,Social Justice Issues in Thailand and Southeast Asia,ANSO,,Social Justice Issues in Thailand and Southeast Asia,2018,2019
999,International Sustainable Development Studies Institute,Thailand,ICRP,ICRP,,ICRP,2018,2019
1000,International Sustainable Development Studies Institute,Thailand,Foundations: Thai Language and Society,LANG,,Foundations: Thai Language and Society - Language Level: Intermediate High,2017,2018
1001,International Sustainable Development Studies Institute,Thailand,Agroecology: Social and Biological Factors in Sustainable Agriculture,ENVS/ANSO,,Agroecology: Social and Biological Factors in Sustainable Agriculture,2017,2018
1002,International Sustainable Development Studies Institute,Thailand,Political Ecology of Forests: Indigenous People and Natural Resources,ENVS/ANSO,,Political Ecology of Forests: Indigenous People and Natural Resources,2017,2018
1003,International Sustainable Development Studies Institute,Thailand,"Islands, Oceans, and Sustainability: Marine Protected Areas and Reef Ecology",BIOL,,"Islands, Oceans, and Sustainability: Marine Protected Areas and Reef Ecology",2017,2018
1004,"University of the West Indies, St. Augustine",Trinidad,Gender & Development,WGS,GEND3039/SOCI3039,Gender & Development,2017,2018
1005,"University of the West Indies, St. Augustine",Trinidad,Men & Masculinities in the Caribbean,WGS,GEND2013,Men & Masculinities in the Caribbean,2017,2018
1006,"University of the West Indies, St. Augustine",Trinidad,Social Media & Gender,WGS,GEND2109,Social Media & Gender,2017,2018
